terms,label,EuropaCode
Team-building skills,building and developing teams,S4.6
Optimize store coverage within budget,keep an open mind,T3.4
Optimize store coverage within budget,management skills,S4.0
Team-building skills,information skills,S2.0
Organizational skills,work independently,T3.1
Organizational skills,work in teams,T4.3
AAnalytical skills,management skills,S4.0
AAnalytical skills,work independently,T3.1
AAnalytical skills,work in teams,T4.3
Data management skills,management skills,S4.0
Data management skills,work independently,T3.1
Data management skills,work in teams,T4.3
Presentation preparation skills,management skills,S4.0
Presentation preparation skills,work independently,T3.1
Presentation preparation skills,work in teams,T4.3
Attention to detail,work independently,T3.1
Attention to detail,management skills,S4.0
Attention to detail,work in teams,T4.3
Ability to take ownership of issues,work independently,T3.1
Ability to take ownership of issues,management skills,S4.0
Ability to take ownership of issues,work in teams,T4.3
Ability to work independently with confidence,work independently,T3.1
Ability to work independently with confidence,management skills,S4.0
Ability to work independently with confidence,work in teams,T4.3
Ability to meet deadlines,work independently,T3.1
Ability to meet deadlines,management skills,S4.0
Ability to meet deadlines,work in teams,T4.3
Verbal and written communication skills,work independently,T3.1
Verbal and written communication skills,work in teams,T4.3
Ability to maintain confidentiality,work independently,T3.1
Ability to maintain confidentiality,management skills,S4.0
Ability to maintain confidentiality,work in teams,T4.3
Judgment and discretion,work independently,T3.1
Judgment and discretion,management skills,S4.0
Judgment and discretion,work in teams,T4.3
Collaboration skills,management skills,S4.0
Collaboration skills,work independently,T3.1
Collaboration skills,work in teams,T4.3
Ability to work in a fast-paced environmentttention to detail,work independently,T3.1
Ability to work in a fast-paced environmentttention to detail,management skills,S4.0
Ability to work in a fast-paced environmentttention to detail,work in teams,T4.3
Independence,work independently,T3.1
Independence,management skills,S4.0
Independence,work in teams,T4.3
Deadline management,management skills,S4.0
Deadline management,work independently,T3.1
Deadline management,work in teams,T4.3
Project management experience,management skills,S4.0
Project management experience,allocating and controlling physical resources,S4.3
Project management experience,manage time,T3.1
Knowledge of project controls,allocating and controlling physical resources,S4.3
Knowledge of project controls,management skills,S4.0
Knowledge of project controls,apply knowledge of science technology and engineering,T6.6
Accountability,management skills,S4.0
Accountability,monitoring and evaluating the performance of individuals,S4.8
Accountability,building and developing teams,S4.6
Conflict management,management skills,S4.0
Conflict management,resolve conflicts,T4.1
Conflict management,monitoring and evaluating the performance of individuals,S4.8
Customer focus,management skills,S4.0
Customer focus,monitoring and evaluating the performance of individuals,S4.8
Customer focus,building and developing teams,S4.6
Effective communication (written and oral),management skills,S4.0
Effective communication (written and oral),monitoring and evaluating the performance of individuals,S4.8
Effective communication (written and oral),building and developing teams,S4.6
Execution excellence & reliability,management skills,S4.0
Execution excellence & reliability,monitoring and evaluating the performance of individuals,S4.8
Execution excellence & reliability,building and developing teams,S4.6
Financial & business acumen,management skills,S4.0
Financial & business acumen,monitoring and evaluating the performance of individuals,S4.8
Financial & business acumen,building and developing teams,S4.6
Interpersonal skills,monitoring and evaluating the performance of individuals,S4.8
Interpersonal skills,building and developing teams,S4.6
Personal effectivenesscredibility,management skills,S4.0
Personal effectivenesscredibility,monitoring and evaluating the performance of individuals,S4.8
Personal effectivenesscredibility,building and developing teams,S4.6
Problem-solving & analysis,management skills,S4.0
Problem-solving & analysis,monitoring and evaluating the performance of individuals,S4.8
Problem-solving & analysis,building and developing teams,S4.6
Relationship building,management skills,S4.0
Relationship building,monitoring and evaluating the performance of individuals,S4.8
Relationship building,building and developing teams,S4.6
Stress management & composure,management skills,S4.0
Stress management & composure,monitoring and evaluating the performance of individuals,S4.8
Stress management & composure,building and developing teams,S4.6
Teamwork & collaboration,management skills,S4.0
Teamwork & collaboration,information skills,S2.0
Teamwork & collaboration,building and developing teams,S4.6
Time management,monitoring and evaluating the performance of individuals,S4.8
Time management,building and developing teams,S4.6
Supervisory responsibility (Hiring training coaching developing and managing assistant managers and crew members),management skills,S4.0
Supervisory responsibility (Hiring training coaching developing and managing assistant managers and crew members),monitoring and evaluating the performance of individuals,S4.8
Supervisory responsibility (Hiring training coaching developing and managing assistant managers and crew members),building and developing teams,S4.6
Basic problem-solving knowledge,solve problems,T2.3
Basic problem-solving knowledge,apply basic programming skills,T1.3
Basic problem-solving knowledge,identify problems,T2.3
Fast-paced execution,information skills,S2.0
Fast-paced execution,management skills,S4.0
Fast-paced execution,work in teams,T4.3
Ability to provide a memorable experience and delight customers,providing general assistance to people,S3.4
Ability to provide a memorable experience and delight customers,attend to detail,T3.1
Ability to provide a memorable experience and delight customers,demonstrate willingness to learn,T3.4
In-depth analysis,information skills,S2.0
In-depth analysis,management skills,S4.0
In-depth analysis,apply basic programming skills,T1.3
Problem-solving skills,providing general assistance to people,S3.4
Non-skill,management skills,S4.0
Non-skill,manage time,T3.1
Non-skill,allocating and controlling physical resources,S4.3
Develop individualized care plan,plan,T2.2
Develop individualized care plan,leading and motivating,S4.5
Develop individualized care plan,developing contingency and emergency response plans,S4.1
Incorporate family input,plan,T2.2
Incorporate family input,leading and motivating,S4.5
Patient care evaluation skills,inspecting food safety and quality,S2.8
Patient care evaluation skills,management skills,S4.0
Patient care evaluation skills,information skills,S2.0
Written communication skills,information skills,S2.0
Written communication skills,management skills,S4.0
Written communication skills,inspecting food safety and quality,S2.8
Verbal communication skills,information skills,S2.0
Verbal communication skills,management skills,S4.0
Verbal communication skills,inspecting food safety and quality,S2.8
Ability to communicate with all levels of management medical staff and employees,inspecting food safety and quality,S2.8
Ability to communicate with all levels of management medical staff and employees,management skills,S4.0
Ability to communicate with all levels of management medical staff and employees,manage time,T3.1
Computer literacy,working with computers,S5.0
Computer literacy,programming computer systems,S5.1
Computer literacy,use communication and collaboration software,T1.3
Working knowledge of Microsoft Office,working with computers,S5.0
Working knowledge of Microsoft Office,use communication and collaboration software,T1.3
Working knowledge of Microsoft Office,work in teams,T4.3
Various computer software programs,programming computer systems,S5.1
Various computer software programs,working with computers,S5.0
Various computer software programs,use communication and collaboration software,T1.3
Incorporate family input,monitoring and evaluating the performance of individuals,S4.8
Set long- and short-term goals,plan,T2.2
Problem identification,management skills,S4.0
Set long- and short-term goals,leading and motivating,S4.5
Set long- and short-term goals,monitoring and evaluating the performance of individuals,S4.8
Case management intervention,identify problems,T2.3
Case management intervention,management skills,S4.0
Case management intervention,information skills,S2.0
Regular and dependable attendance,management skills,S4.0
Regular and dependable attendance,meet commitments,T3.1
Regular and dependable attendance,manage quality,T3.1
Punctuality,management skills,S4.0
Punctuality,meet commitments,T3.1
Punctuality,manage quality,T3.1
Mathematical skills,apply basic programming skills,T1.3
Mathematical skills,information skills,S2.0
Mathematical skills,interpret mathematical information,T1.2
Basic math functions (addition subtraction multiplication division),apply basic programming skills,T1.3
Basic math functions (addition subtraction multiplication division),information skills,S2.0
Basic math functions (addition subtraction multiplication division),interpret mathematical information,T1.2
Critical thinking skills,solve problems,T2.3
Critical thinking skills,information skills,S2.0
Critical thinking skills,demonstrate curiosity,T3.4
Ability to apply job knowledge and policies appropriately,solve problems,T2.3
Ability to apply job knowledge and policies appropriately,demonstrate curiosity,T3.4
Ability to apply job knowledge and policies appropriately,apply basic programming skills,T1.3
Advise management and staff on medical record documentation,allocating and controlling physical resources,S4.3
Advise management and staff on medical record documentation,information skills,S2.0
Advise management and staff on medical record documentation,managing information,S2.3
Health information services,information skills,S2.0
Health information services,allocating and controlling physical resources,S4.3
Health information services,managing information,S2.3
Computerized patient records,information skills,S2.0
Computerized patient records,allocating and controlling physical resources,S4.3
Computerized patient records,managing information,S2.3
Recruit,management skills,S4.0
Recruit,recruiting and hiring,S4.7
Recruit,work in teams,T4.3
Supervisory ability to manage assigned resources,allocating and controlling physical resources,S4.3
Supervisory ability to manage assigned resources,manage time,T3.1
Supervisory ability to manage assigned resources,manage financial and material resources,T6.5
Interview,recruiting and hiring,S4.7
Hire talent,recruiting and hiring,S4.7
Interview,management skills,S4.0
Interview,information skills,S2.0
Hire talent,work in teams,T4.3
Hire talent,management skills,S4.0
Positive attitude,identify problems,T2.3
Positive attitude,solve problems,T2.3
Positive attitude,show confidence,T3.3
Administrative management,management skills,S4.0
Administrative management,allocating and controlling physical resources,S4.3
Administrative management,performing general clerical and administrative tasks,S4.4
Ability to work,instruct others,T4.2
Ability to work,work efficiently,T3.1
Ability to work,build networks,T4.3
Communicate effectively,instruct others,T4.2
Communicate effectively,work efficiently,T3.1
Communicate effectively,build networks,T4.3
Assist in preparing material to be shipped,collecting and preparing specimens or materials for testing,S6.3
Assist in preparing material to be shipped,positioning materials tools or equipment,S6.2
Relationship management skills strongly desired,management skills,S4.0
Organize tasks effectively,communication collaboration and creativity,S1.0
Organize tasks effectively,use communication and collaboration software,T1.3
Organize tasks effectively,identify problems,T2.3
Effective communication,information skills,S2.0
Effective communication,use communication and collaboration software,T1.3
Effective communication,communication collaboration and creativity,S1.0
Active listening,communication collaboration and creativity,S1.0
Active listening,use communication and collaboration software,T1.3
Active listening,think critically,T2.1
Problem-solving skills,communication collaboration and creativity,S1.0
Knowledge of automotive systems,communication collaboration and creativity,S1.0
Knowledge of automotive systems,use communication and collaboration software,T1.3
Knowledge of automotive systems,identify problems,T2.3
Diagnostic ability in ignition internal engine suspension brakes electronics and exhaust systems,maintaining electrical electronic and precision equipment,S8.8
Diagnostic ability in ignition internal engine suspension brakes electronics and exhaust systems,identify problems,T2.3
Diagnostic ability in ignition internal engine suspension brakes electronics and exhaust systems,use communication and collaboration software,T1.3
Basic computer skills,programming computer systems,S5.1
Ability to manage time efficiently,manage time,T3.1
Ability to manage time efficiently,think quickly,T2.1
Ability to manage time efficiently,work efficiently,T3.1
Analytical ability,organise information objects and resources,T2.2
Analytical ability,attend to detail,T3.1
Analytical ability,management skills,S4.0
Attention to detail,organise information objects and resources,T2.2
Business perspective,organise information objects and resources,T2.2
Business perspective,attend to detail,T3.1
Business perspective,management skills,S4.0
Strong organizational skills,think critically,T2.1
Managing multiple project priorities,information skills,S2.0
Managing multiple project priorities,management skills,S4.0
Managing multiple project priorities,managing information,S2.3
Relationship management skills strongly desired,allocating and controlling physical resources,S4.3
Assist in preparing material to be shipped,assisting and caring,S3.0
Teamwork,solve problems,T2.3
Organizational,management skills,S4.0
Organizational,information skills,S2.0
Organizational,manage time,T3.1
Relationship management skills strongly desired,manage time,T3.1
Teamwork,identify problems,T2.3
Teamwork,show confidence,T3.3
Prioritize work using a structured approach,advise others,T4.2
Prioritize work using a structured approach,work in teams,T4.3
Prioritize work using a structured approach,approach challenges positively,T3.3
able to organize work effectively,work efficiently,T3.1
able to organize work effectively,work independently,T3.1
able to organize work effectively,think critically,T2.1
Use equipment necessary for patient care,apply knowledge of science technology and engineering,T6.6
Use equipment necessary for patient care,use equipment tools or technology with precision,T5.1
Use equipment necessary for patient care,make an informed use of the health-care system,T6.1
Foodservice sales,management skills,S4.0
Foodservice sales,information skills,S2.0
Foodservice sales,manage time,T3.1
Manage end-to-end initiatives,manage time,T3.1
Manage end-to-end initiatives,allocating and controlling physical resources,S4.3
Manage end-to-end initiatives,adapt to change,T3.4
Manage under tight deadlines,manage time,T3.1
Manage under tight deadlines,allocating and controlling physical resources,S4.3
Manage under tight deadlines,manage quality,T3.1
Organizational and project management,management skills,S4.0
Organizational and project management,allocating and controlling physical resources,S4.3
Organizational and project management,manage time,T3.1
Serve multiple customers simultaneously,management skills,S4.0
Serve multiple customers simultaneously,allocating and controlling physical resources,S4.3
Serve multiple customers simultaneously,manage time,T3.1
B2B experience,management skills,S4.0
B2B experience,information skills,S2.0
Restaurant management,management skills,S4.0
Restaurant management,manage time,T3.1
B2B experience,manage time,T3.1
Restaurant management,information skills,S2.0
Culinary background,management skills,S4.0
Culinary background,information skills,S2.0
Culinary background,manage time,T3.1
Organizational,apply basic programming skills,T1.3
Programming,apply basic programming skills,T1.3
Programming,information skills,S2.0
Programming,programming computer systems,S5.1
Scripting,apply basic programming skills,T1.3
Scripting,information skills,S2.0
Scripting,programming computer systems,S5.1
Troubleshooting,apply basic programming skills,T1.3
Troubleshooting,programming computer systems,S5.1
Strong written and verbal communication,information skills,S2.0
Strong written and verbal communication,allocating and controlling physical resources,S4.3
Strong written and verbal communication,communication collaboration and creativity,S1.0
Interact with management and clients,allocating and controlling physical resources,S4.3
Interact with management and clients,management skills,S4.0
Interact with management and clients,information skills,S2.0
Client-facing,allocating and controlling physical resources,S4.3
Client-facing,manage time,T3.1
Client-facing,management skills,S4.0
Manage aggressive project timelines,allocating and controlling physical resources,S4.3
Manage aggressive project timelines,manage time,T3.1
Control scope changes,allocating and controlling physical resources,S4.3
Manage aggressive project timelines,manage quality,T3.1
Control scope changes,manage time,T3.1
Deliver high-quality products,allocating and controlling physical resources,S4.3
Control scope changes,management skills,S4.0
Deliver high-quality products,manage time,T3.1
Deliver high-quality products,management skills,S4.0
Organization,use communication and collaboration software,T1.3
Organization,information skills,S2.0
Consulting skills,information skills,S2.0
Consulting skills,management skills,S4.0
Consulting skills,use communication and collaboration software,T1.3
Superior critical thinking skills,information skills,S2.0
Superior critical thinking skills,solve problems,T2.3
Superior critical thinking skills,management skills,S4.0
Intellectual rigor,solve problems,T2.3
Intellectual rigor,information skills,S2.0
Intellectual rigor,management skills,S4.0
Manage a team,manage time,T3.1
Manage a team,manage quality,T3.1
Manage a team,manage personal progression,T3.2
Effective management skills,management skills,S4.0
Effective management skills,plan,T2.2
Effective management skills,allocating and controlling physical resources,S4.3
Plan,management skills,S4.0
Plan,plan,T2.2
Plan,allocating and controlling physical resources,S4.3
Direct,management skills,S4.0
Direct,plan,T2.2
Direct,allocating and controlling physical resources,S4.3
Monitor mechanical engineering projects,management skills,S4.0
Monitor mechanical engineering projects,plan,T2.2
Monitor mechanical engineering projects,allocating and controlling physical resources,S4.3
Understanding of computer hardware and software,operate digital hardware,T1.3
Understanding of computer hardware and software,using digital tools for processing sound and images,S5.6
Understanding of computer hardware and software,working with computers,S5.0
Ability to work independently,management skills,S4.0
Ability to work as part of a team,make an informed use of the health-care system,T6.1
Highly organized,management skills,S4.0
Highly organized,manage time,T3.1
Highly organized,information skills,S2.0
Understanding of word processing,operate digital hardware,T1.3
Understanding of word processing,using digital tools for processing sound and images,S5.6
Understanding of word processing,working with computers,S5.0
Understanding of spreadsheets,operate digital hardware,T1.3
Understanding of spreadsheets,using digital tools for processing sound and images,S5.6
Understanding of spreadsheets,working with computers,S5.0
Strong analytical skills,organise information objects and resources,T2.2
Strong analytical skills,management skills,S4.0
Strong analytical skills,information skills,S2.0
Knowledge of basic math skills,apply basic programming skills,T1.3
Knowledge of basic math skills,management skills,S4.0
Knowledge of basic math skills,information skills,S2.0
High attention to detail,organise information objects and resources,T2.2
Understanding of email,operate digital hardware,T1.3
Understanding of email,using digital tools for processing sound and images,S5.6
Understanding of email,working with computers,S5.0
High attention to detail,attend to detail,T3.1
High attention to detail,information skills,S2.0
Accuracy,organise information objects and resources,T2.2
Organization,attend to detail,T3.1
Accuracy,attend to detail,T3.1
Accuracy,information skills,S2.0
Competency in administering contrast,allocating and controlling physical resources,S4.3
Competency in administering contrast,information skills,S2.0
Competency in administering contrast,demonstrate loyalty,T4.5
Analytical skills,identify problems,T2.3
Analytical skills,resolving computer problems,S5.2
Problem-solving,organise information objects and resources,T2.2
Problem-solving,identify problems,T2.3
basic math skills,carry out calculations,T1.2
basic math skills,apply basic programming skills,T1.3
basic math skills,information skills,S2.0
ability to add subtract two digit numbers and multiply and divide,carry out calculations,T1.2
ability to add subtract two digit numbers and multiply and divide,handling and moving,S6.0
ability to add subtract two digit numbers and multiply and divide,adjust to physical demands,T5.2
Interpreting results,organise information objects and resources,T2.2
Interpreting results,identify problems,T2.3
Interpreting results,resolving computer problems,S5.2
Procedure optimization,organise information objects and resources,T2.2
Procedure optimization,information skills,S2.0
Procedure optimization,identify problems,T2.3
Time management,manage quality,T3.1
Ability to manage multiple tasks,management skills,S4.0
Ability to manage multiple tasks,manage time,T3.1
Ability to manage multiple tasks,manage quality,T3.1
Team building skills,work independently,T3.1
Team building skills,management skills,S4.0
Team building skills,work in teams,T4.3
Technical problem resolution,organise information objects and resources,T2.2
Technical problem resolution,resolving computer problems,S5.2
Technical problem resolution,identify problems,T2.3
Adaptability to changing demands priorities and circumstances,adapt to change,T3.4
Adaptability to changing demands priorities and circumstances,make decisions,T3.2
Adaptability to changing demands priorities and circumstances,adjust to physical demands,T5.2
Customer service skills,management skills,S4.0
Customer service skills,solve problems,T2.3
Customer service skills,identify problems,T2.3
Identify technical solutions for business problems,management skills,S4.0
Identify technical solutions for business problems,apply knowledge of science technology and engineering,T6.6
Identify technical solutions for business problems,make an informed use of the health-care system,T6.1
Organizational skills,apply knowledge of science technology and engineering,T6.6
Organizational skills,make an informed use of the health-care system,T6.1
Project management,apply knowledge of science technology and engineering,T6.6
Project management,make an informed use of the health-care system,T6.1
Interact with internal staff at all levels,management skills,S4.0
Interact with internal staff at all levels,apply knowledge of science technology and engineering,T6.6
Interact with internal staff at all levels,make an informed use of the health-care system,T6.1
Oral communication,management skills,S4.0
Oral communication,apply knowledge of science technology and engineering,T6.6
Oral communication,make an informed use of the health-care system,T6.1
Written communication,management skills,S4.0
Written communication,apply knowledge of science technology and engineering,T6.6
Written communication,make an informed use of the health-care system,T6.1
Develop presentation materials,management skills,S4.0
Develop presentation materials,apply knowledge of science technology and engineering,T6.6
Develop presentation materials,make an informed use of the health-care system,T6.1
Define systems scope and objectives,management skills,S4.0
Define systems scope and objectives,apply knowledge of science technology and engineering,T6.6
Define systems scope and objectives,make an informed use of the health-care system,T6.1
Knowledge of Red Hat OpenShift,apply knowledge of science technology and engineering,T6.6
Knowledge of Red Hat OpenShift,management skills,S4.0
Knowledge of Red Hat OpenShift,keep an open mind,T3.4
Knowledge of Red Hat OpenShift (preferred),apply knowledge of science technology and engineering,T6.6
Knowledge of Red Hat OpenShift (preferred),keep an open mind,T3.4
Knowledge of Red Hat OpenShift (preferred),apply knowledge of social sciences and humanities,T6.6
Commitment to exceeding customer expectations,meet commitments,T3.1
Commitment to exceeding customer expectations,show commitment,T3.2
Commitment to exceeding customer expectations,demonstrate loyalty,T4.5
Train project team personnel on workflows,manage time,T3.1
Collaborate with business analysts,plan,T2.2
Collaborate with business analysts,inspecting food safety and quality,S2.8
Collaborate with business analysts,building and developing teams,S4.6
Train project team personnel on workflows,information skills,S2.0
Manage tools and processes,manage time,T3.1
Train project team personnel on workflows,management skills,S4.0
Manage tools and processes,manage financial and material resources,T6.5
Manage tools and processes,manage quality,T3.1
Plan,building and developing teams,S4.6
Plan,inspecting food safety and quality,S2.8
Design,plan,T2.2
Design,building and developing teams,S4.6
Design,inspecting food safety and quality,S2.8
Develop,plan,T2.2
Develop,inspecting food safety and quality,S2.8
Develop,building and developing teams,S4.6
Test,plan,T2.2
Test,inspecting food safety and quality,S2.8
Test,building and developing teams,S4.6
Maintain applications,plan,T2.2
Maintain applications,inspecting food safety and quality,S2.8
Maintain applications,information skills,S2.0
Analyze and resolve technical problems,identify problems,T2.3
Assist in collaboration for shared development environments,use communication and collaboration software,T1.3
Assist in collaboration for shared development environments,management skills,S4.0
Manage multiple projects,manage time,T3.1
Manage multiple projects,manage quality,T3.1
Manage multiple projects,allocating and controlling physical resources,S4.3
Manage in a fast-paced environment,manage time,T3.1
Manage in a fast-paced environment,manage quality,T3.1
Manage in a fast-paced environment,allocating and controlling physical resources,S4.3
Basic PC skills,apply basic programming skills,T1.3
Basic PC skills,information skills,S2.0
Basic PC skills,management skills,S4.0
Proficiency in MS Outlook,apply basic programming skills,T1.3
Proficiency in MS Outlook,management skills,S4.0
Proficiency in MS Outlook,information skills,S2.0
Analyze and resolve technical problems,apply knowledge of science technology and engineering,T6.6
Analyze and resolve technical problems,solve problems,T2.3
Analyze and resolve application problems,solve problems,T2.3
Analyze and resolve application problems,identify problems,T2.3
Assist in collaboration for shared development environments,communication collaboration and creativity,S1.0
Analyze and resolve application problems,apply knowledge of science technology and engineering,T6.6
perform application related security,designing industrial materials systems or products,S1.11
perform application related security,apply digital security measures,T1.3
Building trust,building and developing teams,S4.6
ability to negotiate,designing industrial materials systems or products,S1.11
ability to negotiate,lead others,T4.4
ability to negotiate,work in teams,T4.3
design team,designing industrial materials systems or products,S1.11
design team,work in teams,T4.3
design team,lead others,T4.4
perform application related security,information skills,S2.0
Building trust,build team spirit,T4.4
Building trust,build networks,T4.3
Managing work,management skills,S4.0
Managing work,allocating and controlling physical resources,S4.3
Managing work,manage time,T3.1
Maintain effective working relationships with functional owners peers and vendors for agile project implementation,management skills,S4.0
Maintain effective working relationships with functional owners peers and vendors for agile project implementation,information skills,S2.0
Assist store manager,allocating and controlling physical resources,S4.3
Maintain effective working relationships with functional owners peers and vendors for agile project implementation,work in teams,T4.3
Assist store manager,management skills,S4.0
Assist store manager,manage time,T3.1
Protect and secure company assets,allocating and controlling physical resources,S4.3
Protect and secure company assets,manage financial and material resources,T6.5
Protect and secure company assets,manage time,T3.1
Store cash,allocating and controlling physical resources,S4.3
Store cash,manage time,T3.1
Direct hourly associates in store manager s absence,assume responsibility,T3.2
Direct hourly associates in store manager s absence,manage time,T3.1
Store cash,manage financial and material resources,T6.5
Direct hourly associates in store manager s absence,allocating and controlling physical resources,S4.3
Receipt and return of DSD merchandise,manage time,T3.1
Receipt and return of DSD merchandise,allocating and controlling physical resources,S4.3
Freight flow management,management skills,S4.0
Receipt and return of DSD merchandise,protect the health of others,T6.1
Freight flow management,allocating and controlling physical resources,S4.3
Freight flow management,manage time,T3.1
Assist store manager,handling and moving,S6.0
Ordering and stocking merchandise including frozen & refrigerated items,allocating and controlling physical resources,S4.3
Ordering and stocking merchandise including frozen & refrigerated items,handling and moving,S6.0
Ordering and stocking merchandise including frozen & refrigerated items,manage time,T3.1
Maintain stockroom organization,allocating and controlling physical resources,S4.3
Maintain stockroom organization,management skills,S4.0
Maintain stockroom organization,manage time,T3.1
Ensure sales floor is effective daily,allocating and controlling physical resources,S4.3
Ensure sales floor is effective daily,manage financial and material resources,T6.5
Ensure sales floor is effective daily,manage time,T3.1
Assist store manager,plan,T2.2
Plan and implement monthly sales planners,plan,T2.2
Plan merchandise and maintain clip strips and power panels,plan,T2.2
Plan merchandise and maintain clip strips and power panels,handling and moving,S6.0
Plan merchandise and maintain clip strips and power panels,allocating and controlling physical resources,S4.3
Plan and implement monthly sales planners,allocating and controlling physical resources,S4.3
Plan and implement monthly sales planners,manage time,T3.1
Positive,solve problems,T2.3
Positive,identify problems,T2.3
Demonstrate cross-team collaboration skills,demonstrate curiosity,T3.4
able to work independently,work independently,T3.1
able to work independently,make decisions,T3.2
able to work independently,work in teams,T4.3
Able to work in cross-functional collaboration,work independently,T3.1
Able to work in cross-functional collaboration,work in teams,T4.3
Able to work in cross-functional collaboration,make decisions,T3.2
Demonstrate cross-team collaboration skills,information skills,S2.0
Strong written and verbal communication,management skills,S4.0
Demonstrate cross-team collaboration skills,instruct others,T4.2
Positive,information skills,S2.0
Enthusiastic attitude,solve problems,T2.3
Enthusiastic attitude,identify problems,T2.3
Enthusiastic attitude,show confidence,T3.3
Mathematical skills,management skills,S4.0
Basic math functions (addition subtraction multiplication division),management skills,S4.0
Prioritization,manage time,T3.1
Independent work,work independently,T3.1
Independent work,make decisions,T3.2
Independent work,management skills,S4.0
ability to work with minimal supervision,work independently,T3.1
ability to work with minimal supervision,make decisions,T3.2
ability to work with minimal supervision,work efficiently,T3.1
Organizational awareness,management skills,S4.0
Organizational awareness,think critically,T2.1
Project implementation,management skills,S4.0
Manage and lead workforce,manage time,T3.1
Manage and lead workforce,allocating and controlling physical resources,S4.3
Manage and lead workforce,lead others,T4.4
Project implementation,information skills,S2.0
Organizational awareness,implementing new procedures or processes,S1.9
Project implementation,implementing new procedures or processes,S1.9
high attention to detail,attend to detail,T3.1
high attention to detail,information skills,S2.0
attention to detail,attend to detail,T3.1
high attention to detail,demonstrate willingness to learn,T3.4
attention to detail,information skills,S2.0
Strong project management,information skills,S2.0
attention to detail,demonstrate willingness to learn,T3.4
Strong problem-solving,solve problems,T2.3
Develop tailored solutions to intelligence,reporting incidents and defects,S2.2
Develop tailored solutions to intelligence,management skills,S4.0
Strong problem-solving,management skills,S4.0
Develop tailored solutions to intelligence,building and developing teams,S4.6
Strong problem-solving,apply basic programming skills,T1.3
Building and maintaining networks of client relationships,building and developing teams,S4.6
Building and maintaining networks of client relationships,build networks,T4.3
Effectively communicate with clinicians to build trust,coaching and mentoring,S1.3
Building and maintaining networks of client relationships,leading and motivating,S4.5
Effectively communicate with clinicians to build trust,participate actively in civic life,T6.3
Effectively communicate with clinicians to build trust,build networks,T4.3
Solicit active participation in initiatives,participate actively in civic life,T6.3
Solicit active participation in initiatives,coaching and mentoring,S1.3
Solicit active participation in initiatives,show initiative,T3.2
Supervise teams,work in teams,T4.3
Supervise teams,leading and motivating,S4.5
Supervise teams,managing gathering and storing digital data,S5.5
Build trust,work in teams,T4.3
Build trust,leading and motivating,S4.5
Build trust,build team spirit,T4.4
Encourage diverse perspectives,leading and motivating,S4.5
Encourage diverse perspectives,work in teams,T4.3
Encourage diverse perspectives,managing gathering and storing digital data,S5.5
Creative thinking,solve problems,T2.3
Creative thinking,identify problems,T2.3
Work in a team,work in teams,T4.3
Keyboard familiarity,apply basic programming skills,T1.3
Keyboard familiarity,working with computers,S5.0
Keyboard familiarity,information skills,S2.0
Work in a team,assisting and supporting co-workers,S1.8
Dedication to developing skills and knowledge,information skills,S2.0
Work in a team,management skills,S4.0
Dedication to developing skills and knowledge,maintain concentration for long periods,T3.1
Work in a fast-paced environment,work in teams,T4.3
Dedication to developing skills and knowledge,building and developing teams,S4.6
Work in a fast-paced environment,assisting and supporting co-workers,S1.8
Work in a fast-paced environment,management skills,S4.0
Advanced management skills,plan,T2.2
Advanced management skills,management skills,S4.0
Leadership,plan,T2.2
Leadership,allocating and controlling physical resources,S4.3
Leadership,management skills,S4.0
Advanced management skills,allocating and controlling physical resources,S4.3
Strategic planning,plan,T2.2
Strategic planning,management skills,S4.0
Strategic planning,allocating and controlling physical resources,S4.3
Policy development,management skills,S4.0
Resourcefulness,management skills,S4.0
Resourcefulness,identify problems,T2.3
Resourcefulness,solve problems,T2.3
Policy development,plan,T2.2
Policy development,allocating and controlling physical resources,S4.3
Risk analysis for natural resources,plan,T2.2
Risk analysis for natural resources,allocating and controlling physical resources,S4.3
Risk analysis for natural resources,management skills,S4.0
Strong quantitative,information skills,S2.0
Staff management,management skills,S4.0
Staff management,allocating and controlling physical resources,S4.3
Staff management,make decisions,T3.2
Financial management,management skills,S4.0
Financial management,allocating and controlling physical resources,S4.3
Financial management,make decisions,T3.2
Integrity,allocating and controlling physical resources,S4.3
Integrity,management skills,S4.0
Integrity,make decisions,T3.2
Problem-solving,allocating and controlling physical resources,S4.3
Conflict management,allocating and controlling physical resources,S4.3
Conflict management,make decisions,T3.2
Time management,allocating and controlling physical resources,S4.3
Time management,make decisions,T3.2
Customer focus,allocating and controlling physical resources,S4.3
Customer focus,make decisions,T3.2
Decision-making,allocating and controlling physical resources,S4.3
Motivation,allocating and controlling physical resources,S4.3
Motivation,management skills,S4.0
Motivation,make decisions,T3.2
Drive for results,allocating and controlling physical resources,S4.3
Drive for results,make decisions,T3.2
Drive for results,management skills,S4.0
Strong quantitative,management skills,S4.0
Strong quantitative,apply basic programming skills,T1.3
Ability to influence others,motivate others,T4.4
Ability to influence others,lead others,T4.4
Ability to influence others,instruct others,T4.2
Ability to lead small teams,lead others,T4.4
Ability to lead small teams,motivate others,T4.4
Ability to lead small teams,work in teams,T4.3
Ability to coordinate multiple projects simultaneously,lead others,T4.4
Ability to coordinate multiple projects simultaneously,move objects,T5.1
Ability to coordinate multiple projects simultaneously,manage personal progression,T3.2
Critical thinking skills,management skills,S4.0
Critical thinking skills,apply basic programming skills,T1.3
Flexibility,information skills,S2.0
